词语	强度	极性
节能	weaksubj	positive
清高	midsubj	positive
津润	weaksubj	positive
金瓯	midsubj	positive
竹篮子打水一场空	midsubj	negative
在理	weaksubj	positive
崭齐	weaksubj	positive
莞尔	midsubj	0
哲人	midsubj	positive
真知	midsubj	positive
哗笑	midsubj	0
正轨	midsubj	positive
知心	midsubj	positive
值价	weaksubj	positive
至当	midsubj	positive
致贺	midsubj	positive
制胜	midsubj	positive
忠骨	midsubj	positive
珠玑	midsubj	positive
迷恋	strongsubj	3
庄静	weaksubj	positive
壮行	midsubj	positive
卓识	strongsubj	positive
姿色	midsubj	positive
相中	weaksubj	0
晋升	midsubj	positive
尊奉	weaksubj	positive
近情	weaksubj	positive
旌麾	weaksubj	0
精核	weaksubj	positive
精密	weaksubj	positive
精熟	midsubj	positive
精严	weaksubj	positive
晶光	weaksubj	positive
井然	weaksubj	positive
儆醒	weaksubj	positive
心仪已久	strongsubj	positive
诤友	weaksubj	positive
劲秀	weaksubj	positive
救急	weaksubj	positive
就义	midsubj	positive
据理	weaksubj	positive
眷顾	midsubj	positive
梼昧	midsubj	negative
暗无天日	strongsubj	negative
白衣苍狗	midsubj	0
卑猥	strongsubj	negative
憋拗	strongsubj	negative
以德报怨	strongsubj	positive
有心眼儿	weaksubj	positive
令人敬畏	weaksubj	positive
为人宽厚	strongsubj	positive
文武双全	strongsubj	positive
小巧玲珑	strongsubj	positive
不成器	midsubj	negative
正大光明	strongsubj	positive
不分青红皂白	strongsubj	negative
不得劲	midsubj	negative
枝繁叶茂	strongsubj	positive
有血气	strongsubj	positive
不更事	weaksubj	negative
因时制宜	strongsubj	positive
学有专长	strongsubj	positive
行云流水	strongsubj	positive
知书识礼	midsubj	positive
直心眼儿	weaksubj	positive
物阜民丰	strongsubj	positive
嗜血成性	strongsubj	negative
索然乏味	strongsubj	negative
死脑筋	strongsubj	negative
松垮	strongsubj	negative
随风转舵	strongsubj	negative
沉静	weaksubj	positive
危机重重	strongsubj	negative
无涵养	strongsubj	negative
无实效	strongsubj	negative
安全	weaksubj	positive
不伦不类	strongsubj	negative
不切实际	strongsubj	negative
不痛不痒	midsubj	negative
不像话	strongsubj	negative
不足取	midsubj	negative
残破不全	weaksubj	negative
味道不好	strongsubj	negative
死得其所	midsubj	positive
玄秘	midsubj	0
岌岌可危	strongsubj	negative
茕茕孑立，形影相吊	strongsubj	0
长篇累牍	midsubj	negative
阴凄	strongsubj	negative
成事不足，败事有余	strongsubj	negative
臭烘烘	strongsubj	negative
望穿秋水	strongsubj	0
村气	midsubj	negative
循规蹈矩	weaksubj	negative
显著	midsubj	0
低卑	strongsubj	negative
滴里嘟噜	weaksubj	negative
动作迟顿	weaksubj	negative
济困扶危	midsubj	positive
发人深省	weaksubj	positive
风吹日晒	weaksubj	0
腐败堕落	strongsubj	negative
高不成，低不就	weaksubj	negative
象样	midsubj	positive
寡淡	weaksubj	negative
乖谬	strongsubj	negative
含含混混	midsubj	negative
豪侈	midsubj	negative
火冒三丈	strongsubj	0
义形于色	weaksubj	0
胡子拉茬	weaksubj	negative
坏人当道	strongsubj	negative
荒无人烟	midsubj	0
灰茫茫	weaksubj	0
智慧型	midsubj	positive
质优	weaksubj	positive
忠良	midsubj	positive
壮阔	weaksubj	positive
仔仔细细	weaksubj	positive
最佳	weaksubj	positive
哀怨	midsubj	negative
逍遥自在	midsubj	positive
瑕不掩瑜	midsubj	positive
熠熠生辉	weaksubj	positive
哀思	midsubj	0
霁月光风	midsubj	positive
哀矜	weaksubj	0
抱恨终生	strongsubj	negative
憋得慌	strongsubj	negative
凄切	weaksubj	negative
吃后悔药	weaksubj	negative
兔死狐悲	weaksubj	negative
戳脊梁骨	midsubj	negative
同病相怜	midsubj	0
惨重	strongsubj	negative
烦腻	midsubj	negative
忿忿	weaksubj	0
寡欢	weaksubj	0
喝叱	midsubj	0
惶惧	midsubj	0
急急巴巴	strongsubj	negative
惨不忍睹	strongsubj	negative
疚愧	midsubj	0
抗议	midsubj	negative
拉不下脸	weaksubj	0
回肠九转	strongsubj	negative
打掉牙往肚子里吞－有苦显不出来	strongsubj	negative
闷沉沉	weaksubj	0
面有愠色	weaksubj	0
怒喝	midsubj	0
抱屈衔冤	strongsubj	0
气忿忿	midsubj	0
惶恐不安	midsubj	0
杯弓蛇影	midsubj	negative
危惧	weaksubj	0
系念	weaksubj	positive
急不可待	strongsubj	0
羞于	weaksubj	0
讶然	weaksubj	0
鄙弃	midsubj	negative
愧对	midsubj	0
震悚	strongsubj	0
心灰意懒	midsubj	negative
嗔斥	midsubj	0
爱宠	midsubj	0
无计可施	midsubj	0
片瓦无存	weaksubj	0
跪叩	midsubj	0
七手八脚	weaksubj	negative
敬奉	midsubj	0
看得上眼	weaksubj	positive
渴求	midsubj	0
美滋滋	midsubj	0
沿门托钵	weaksubj	negative
飘飘欲仙	strongsubj	0
弹尽粮绝	strongsubj	negative
舟中敌国	midsubj	negative
安如泰山	midsubj	positive
颂赞	midsubj	positive
改弦更张	weaksubj	positive
喜幸	weaksubj	positive
眼馋	midsubj	0
小家子相	strongsubj	negative
迁延时日	weaksubj	negative
赞慕	midsubj	0
见风使舵	strongsubj	negative
骄奢淫逸	strongsubj	negative
饱学	midsubj	positive
鞭辟近里	midsubj	positive
江河日下	weaksubj	negative
经验不足	strongsubj	negative
拘礼	weaksubj	negative
开小差	strongsubj	negative
割席断交	weaksubj	0
石沉大海	midsubj	0
公子哥儿	weaksubj	negative
扬玲打鼓	weaksubj	negative
楚楚可怜	weaksubj	positive
不整齐	weaksubj	negative
车水马龙	weaksubj	positive
耳报神	midsubj	negative
狂悖	strongsubj	negative
出手不凡	midsubj	positive
春秋鼎盛	strongsubj	positive
老赶	midsubj	negative
久战沙场	weaksubj	positive
从权	weaksubj	negative
离索	strongsubj	0
哩哩啦啦	weaksubj	negative
大而全	weaksubj	positive
心慕手追	weaksubj	positive
低调	weaksubj	positive
零七八碎	midsubj	negative
春秋笔法	weaksubj	positive
鼎鼎大名	weaksubj	positive
流里流气	strongsubj	negative
乱了营	strongsubj	negative
端端正正	weaksubj	positive
落俗套	midsubj	negative
漫不经意	weaksubj	0
内幕	weaksubj	0
没出息	weaksubj	negative
没礼貌	weaksubj	negative
没心没肺	strongsubj	negative
迷宫般	weaksubj	0
名义上	midsubj	negative
目光短浅	strongsubj	negative
难人	strongsubj	negative
一触即溃	strongsubj	negative
纸醉金迷	strongsubj	negative
摇摇欲坠	strongsubj	negative
一干二净	strongsubj	positive
拆烂污	weaksubj	negative
官倒	midsubj	negative
优胜	strongsubj	positive
信息丰富	strongsubj	positive
难相处	weaksubj	negative
闹闹哄哄	strongsubj	negative
黑话	weaksubj	0
脾气爆躁	weaksubj	negative
骗人	strongsubj	negative
笃信	strongsubj	positive
其貌不扬	strongsubj	0
气盛	midsubj	0
强行	midsubj	negative
甘服	midsubj	positive
穷奢极侈	strongsubj	negative
缺乏才智	midsubj	negative
绕脖子	weaksubj	negative
认死理儿	strongsubj	negative
弱不禁风	weaksubj	negative
散乱	weaksubj	negative
傻里瓜唧	midsubj	negative
高耸	weaksubj	positive
尔雅	weaksubj	positive
无根据	strongsubj	negative
拿捏	weaksubj	0
喧杂	strongsubj	negative
一脸横肉	strongsubj	negative
风景如画	weaksubj	positive
荷花	weaksubj	0
护航	weaksubj	0
凤毛麟角	strongsubj	positive
斯斯文文	strongsubj	positive
坦直	midsubj	0
天真无邪	strongsubj	0
高纯	weaksubj	positive
高深	weaksubj	positive
高质量	weaksubj	positive
功不可没	strongsubj	positive
鼓舞人心	weaksubj	positive
光灿灿	weaksubj	positive
滚瓜烂熟	weaksubj	positive
毫发不爽	weaksubj	positive
好心肠	weaksubj	positive
合口味	weaksubj	positive
鹤发童颜	weaksubj	positive
后生可畏	midsubj	positive
树叶茂盛	weaksubj	positive
受看	weaksubj	positive
守法	weaksubj	0
使用方便	weaksubj	positive
实实惠惠	midsubj	positive
圣明	strongsubj	positive
滑不唧溜	weaksubj	0
花絮	weaksubj	0
是非	weaksubj	0
神通广大	strongsubj	positive
坚持不渝	weaksubj	positive
深奥	weaksubj	positive
少不了	weaksubj	0
见微知萌	midsubj	positive
讲礼貌	weaksubj	positive
筋道	weaksubj	positive
谨言慎行	weaksubj	positive
精神十足	weaksubj	positive
软心肠	weaksubj	positive
入耳	weaksubj	positive
柔中有刚	midsubj	positive
细瘦	weaksubj	0
绝了	midsubj	positive
群威群胆	weaksubj	positive
开拓型	midsubj	positive
确切无疑	strongsubj	0
全知全能	strongsubj	positive
清幽幽	weaksubj	positive
快人快语	weaksubj	positive
清朗	midsubj	positive
皮实	weaksubj	positive
亲昵	weaksubj	positive
悄然	midsubj	0
浅易	weaksubj	0
轻松	weaksubj	positive
天怒人怨	strongsubj	negative
手下留情	weaksubj	0
有失偏颇	strongsubj	negative
旗帜鲜明	weaksubj	positive
心心相印	strongsubj	positive
杂草丛生	strongsubj	negative
忸怩作态	strongsubj	negative
完好如新	strongsubj	positive
朴拙	strongsubj	positive
无所不能	strongsubj	positive
捉襟见肘	strongsubj	negative
有理由	strongsubj	positive
毅然	strongsubj	positive
心明眼亮	strongsubj	positive
泼悍	strongsubj	negative
无可厚非	strongsubj	positive
稳扎稳打	strongsubj	positive
艰苦	weaksubj	0
满腔热血	weaksubj	positive
面善	weaksubj	positive
明睿	midsubj	positive
目光远大	midsubj	positive
蔫不溜	weaksubj	negative
喷喷香	weaksubj	positive
哀丝豪竹	weaksubj	positive
掩耳盗铃	weaksubj	negative
江山如画	midsubj	positive
万里江河	strongsubj	positive
安稳	weaksubj	positive
狐疑	weaksubj	negative
惨痛	strongsubj	negative
郁结	weaksubj	negative
济世安邦	strongsubj	positive
文治武功	strongsubj	positive
拒谏饰非	strongsubj	negative
授人以柄	midsubj	negative
政出多门	strongsubj	negative
屈节辱命	strongsubj	negative
社稷为墟	strongsubj	0
豆剖瓜分	strongsubj	negative
开国济民	strongsubj	positive
潮呼呼	weaksubj	negative
鄙俚	strongsubj	negative
康乐	weaksubj	positive
舒坦	weaksubj	positive
欢愉	midsubj	positive
四平八稳	weaksubj	0
馨香	weaksubj	positive
高高兴兴	midsubj	positive
欢欣鼓舞	strongsubj	positive
乐滋滋	midsubj	positive
喜出望外	strongsubj	positive
心花怒放	strongsubj	positive
开怀	midsubj	positive
中意	midsubj	positive
正中下怀	weaksubj	positive
热烈	weaksubj	positive
过瘾	midsubj	0
陶陶	weaksubj	positive
酣畅	weaksubj	positive
幽默	weaksubj	positive
满面春风	weaksubj	positive
喜形于色	midsubj	positive
旌旗蔽日	strongsubj	positive
谪居	weaksubj	0
眉飞色舞	midsubj	positive
拍手称快	midsubj	positive
喜逐颜开	midsubj	positive
轻暖	midsubj	positive
深望	weaksubj	positive
喜色	midsubj	positive
喜笑盈思	midsubj	positive
感同身受	weaksubj	positive
孤儿盼到了亲人－喜出望外	strongsubj	0
新媳妇过门－大喜	strongsubj	0
火热	midsubj	positive
馨香祷祝	strongsubj	positive
情绪低落	midsubj	0
赘述	weaksubj	negative
安康	weaksubj	positive
甜爽	midsubj	positive
动心	weaksubj	0
辛劳	midsubj	positive
严守	weaksubj	positive
珍禽	weaksubj	positive
心疼	midsubj	0
宠幸	midsubj	0
祝寿	weaksubj	positive
醉心	strongsubj	0
痴心	strongsubj	0
酷爱	strongsubj	0
兴趣	weaksubj	0
亲爱	strongsubj	0
土里土气	weaksubj	negative
天使	strongsubj	positive
欣慕	weaksubj	0
有智慧	midsubj	positive
柔媚	weaksubj	positive
爱不忍释	strongsubj	positive
舐犊情深	strongsubj	positive
从心所欲	weaksubj	0
连根共树	strongsubj	positive
形影相追	strongsubj	positive
谧静	weaksubj	positive
情不自禁	weaksubj	positive
殷情	weaksubj	0
等不及	weaksubj	0
洛阳的牡丹－人人喜欢	midsubj	0
责斥	weaksubj	0
甘心情愿	weaksubj	0
瞧得上眼	weaksubj	positive
推尊	midsubj	positive
脉脉	weaksubj	positive
沁人肺腑	midsubj	positive
不可或缺	weaksubj	positive
不无道理	weaksubj	0
奇迹	strongsubj	positive
崇尚	strongsubj	positive
景慕	strongsubj	positive
不朽	strongsubj	positive
不懈怠	weaksubj	positive
才略过人	strongsubj	positive
思慕	weaksubj	0
伟人	strongsubj	positive
莽莽苍苍	weaksubj	negative
五体投地	midsubj	positive
虔敬	midsubj	positive
延年益寿	weaksubj	positive
麻姑献寿	weaksubj	positive
福寿齐天	weaksubj	positive
一呼百应	weaksubj	positive
尊长	strongsubj	0
伏帖	weaksubj	positive
自重	weaksubj	positive
拜会	midsubj	positive
宝眷	strongsubj	positive
有条不紊	strongsubj	positive
想开	weaksubj	0
闲适	weaksubj	0
和悦	weaksubj	positive
扑朔迷离	weaksubj	0
冥顽不灵	strongsubj	negative
于心无愧	midsubj	positive
神色不动	weaksubj	positive
风平浪静	midsubj	positive
家喻户晓	weaksubj	positive
眼巴巴	midsubj	negative
惦记	midsubj	0
脏乎乎	midsubj	negative
昭彰	weaksubj	positive
鲁女忧国	strongsubj	positive
信用	weaksubj	0
自己人	strongsubj	0
放之四海而皆准	strongsubj	positive
凿凿	midsubj	0
傲然	weaksubj	positive
高亢	strongsubj	positive
不凡	strongsubj	positive
尽瘁事国	strongsubj	positive
出类拔萃	strongsubj	positive
真挚	midsubj	positive
破家为国	strongsubj	positive
豪情满怀	strongsubj	positive
有始有终	midsubj	positive
光明磊落	strongsubj	positive
机灵	midsubj	positive
见义勇为	strongsubj	positive
鞠躬尽瘁	strongsubj	positive
纯洁	midsubj	positive
大显身手	midsubj	positive
顶天立地	strongsubj	positive
奋不顾身	strongsubj	positive
刚强	midsubj	positive
忧国忘家	strongsubj	positive
真诚	midsubj	positive
达观	weaksubj	positive
踌躇满志	strongsubj	positive
眉清目秀	midsubj	positive
雅趣	midsubj	positive
朝气蓬勃	midsubj	positive
从容不迫	midsubj	positive
其乐无穷	weaksubj	positive
秀美	midsubj	positive
壮丽	weaksubj	positive
逗趣	weaksubj	positive
蓬勃	midsubj	positive
气节	midsubj	positive
谦逊	midsubj	positive
勤劳	midsubj	positive
热忱	midsubj	positive
日理万机	strongsubj	positive
身体力行	weaksubj	positive
好意	midsubj	positive
暖乎乎	weaksubj	positive
尊师重教	midsubj	positive
仗义	midsubj	positive
赞成	midsubj	positive
突飞猛进	midsubj	positive
关切	weaksubj	positive
无坚不摧	midsubj	positive
阔达	midsubj	positive
雅致	midsubj	positive
英俊	midsubj	positive
优良	midsubj	positive
感佩	midsubj	positive
朝气	midsubj	positive
忠心耿耿	strongsubj	positive
贞烈	midsubj	positive
仁爱	strongsubj	positive
耿直	weaksubj	positive
光明正大	strongsubj	positive
爽利	midsubj	positive
冰清玉洁	midsubj	positive
忠烈	strongsubj	positive
思恋	midsubj	positive
诚恳	midsubj	positive
敦实	midsubj	positive
柔顺	midsubj	positive
一身是胆	midsubj	positive
猛士	weaksubj	positive
博学	midsubj	positive
谦抑	midsubj	positive
豪气	strongsubj	positive
丹忱	midsubj	positive
刚烈	midsubj	positive
公平合理	midsubj	positive
风雅	midsubj	positive
虎虎	weaksubj	positive
沉稳	midsubj	positive
心细	midsubj	positive
洒落	weaksubj	positive
老成	midsubj	0
滑润	weaksubj	positive
得当	midsubj	positive
始终不渝	strongsubj	positive
坚持	weaksubj	0
舆死扶伤	strongsubj	positive
热心	midsubj	positive
殷勤	weaksubj	positive
吊死问疾	midsubj	positive
情深意重	midsubj	positive
知情达理	midsubj	positive
沁入肺腑	midsubj	positive
仔细	weaksubj	positive
发达	midsubj	positive
浩荡	weaksubj	positive
利索	weaksubj	positive
体谅	weaksubj	0
轻便	weaksubj	positive
上等	midsubj	positive
敦厚	midsubj	positive
醒目	weaksubj	positive
珍贵	midsubj	positive
诚笃	midsubj	positive
气势	weaksubj	positive
清凌凌	weaksubj	positive
飞针走线	midsubj	positive
冉冉	weaksubj	positive
志士	midsubj	positive
无名英雄	strongsubj	positive
爱憎分明	weaksubj	positive
涓滴归公	midsubj	positive
宝刀	weaksubj	positive
助困	weaksubj	0
保卫	weaksubj	positive
悲愤填膺	strongsubj	negative
夸赞	midsubj	positive
称赏	midsubj	positive
礼赞	midsubj	positive
灵秀	midsubj	positive
壮伟	midsubj	positive
繁花似锦	midsubj	positive
见危授命	midsubj	positive
廉正	midsubj	positive
廉政	strongsubj	positive
血性汉子	weaksubj	positive
正面	weaksubj	positive
圣贤	strongsubj	positive
先知	strongsubj	positive
童贞	weaksubj	positive
言之有理	weaksubj	positive
坚如磐石	midsubj	positive
国富民强	midsubj	positive
毫厘不爽	midsubj	positive
郁愤	midsubj	negative
震天动地	weaksubj	0
万古流芳	strongsubj	positive
甲天下	strongsubj	positive
吃得开	weaksubj	positive
